"customerid","days_since_purchase","recency_score","num_orders","frequency_score","customer_revenue","monetary_score"
"18102",0,5,"145",5,"580987.04",5
"14646",1,5,"152",5,"528602.52",5
"14156",9,5,"156",5,"313437.62",5
"14911",1,5,"398",5,"291420.81",5
"17450",8,5,"51",5,"244784.25",5
"13694",3,5,"143",5,"195640.69",5
"17511",2,5,"60",5,"172132.87",5
"16446",0,5,"2",2,"168472.50",5
"16684",4,5,"55",5,"147142.77",5
"12415",24,4,"28",5,"144458.37",5
"15061",3,5,"127",5,"126389.02",5
"16029",38,4,"107",5,"117763.62",5
"17949",1,5,"118",5,"117314.08",5
"15311",0,5,"208",5,"114966.42",5
"13089",2,5,"203",5,"113416.91",5
"12931",21,4,"57",5,"92347.34",5
"14298",8,5,"82",5,"91194.49",5
"15769",7,5,"46",5,"88612.52",5
"12346",325,2,"12",5,"77556.46",5
"13798",1,5,"110",5,"75428.87",5
"15838",11,5,"34",5,"73205.50",5
"17841",1,5,"211",5,"68545.25",5
"16754",372,2,"29",5,"65500.07",5
"14096",4,5,"17",5,"65164.79",5
"14088",10,5,"16",5,"64036.80",5
"16422",17,5,"109",5,"61920.87",5
"17389",0,5,"61",5,"57215.33",5
"13081",11,5,"28",5,"56838.37",5
"16013",3,5,"84",5,"56078.44",5
"14680",25,4,"58",5,"55688.50",5
"13093",275,2,"55",5,"54144.25",5
"12748",0,5,"337",5,"53539.64",5
"17850",372,2,"155",5,"51208.87",5
"13408",1,5,"106",5,"50174.78",5
"13777",0,5,"61",5,"49638.26",5
"17404",4,5,"23",5,"47781.12",5
"13881",3,5,"43",5,"45179.10",5
"15749",235,2,"3",3,"44534.30",5
"16705",0,5,"42",5,"43515.05",5
"12471",2,5,"79",5,"39918.19",5
"15098",182,3,"3",3,"39916.50",5
"15039",9,5,"93",5,"39141.48",5
"14031",7,5,"44",5,"39019.51",5
"17675",1,5,"70",5,"37642.48",5
"17381",8,5,"38",5,"36398.65",5
"12921",9,5,"74",5,"35233.24",5
"17677",1,5,"54",5,"35058.46",5
"12678",42,4,"21",5,"34281.18",5
"13902",632,1,"5",4,"34095.26",5
"13767",2,5,"73",5,"33903.57",5
"16210",1,5,"35",5,"33750.97",5
"16779",2,5,"53",5,"32809.03",5
"15856",4,5,"52",5,"32275.95",5
"14258",9,5,"25",5,"32051.34",5
"17428",0,5,"45",5,"31466.76",5
"17940",49,4,"16",5,"30306.79",5
"12709",15,5,"34",5,"30291.76",5
"14606",1,5,"192",5,"29951.37",5
"12681",14,5,"45",5,"29834.76",5
"13078",3,5,"57",5,"29018.06",5
"13098",1,5,"28",5,"28882.44",5
"17857",4,5,"24",5,"27347.04",5
"14527",2,5,"122",5,"27246.88",5
"16333",7,5,"22",5,"26626.80",5
"15513",33,4,"35",5,"26437.05",5
"17865",30,4,"46",5,"26312.19",5
"18251",87,3,"9",5,"26278.86",5
"13802",138,3,"19",5,"26259.11",5
"12731",23,4,"17",5,"25775.71",5
"14062",9,5,"24",5,"25585.65",5
"12744",51,4,"11",5,"25317.06",5
"12939",64,3,"20",5,"25264.80",5
"14895",7,5,"38",5,"25119.54",5
"15498",2,5,"44",5,"24972.86",5
"12621",1,5,"35",5,"24311.20",5
"16525",2,5,"48",5,"24151.30",5
"13001",4,5,"33",5,"24042.65",5
"14607",15,5,"22",5,"23763.13",5
"12482",576,1,"29",5,"23691.40",5
"17920",4,5,"54",5,"23581.78",5
"15640",4,5,"29",5,"23494.31",5
"12409",78,3,"7",4,"23419.29",5
"16133",3,5,"56",5,"22992.26",5
"12682",3,5,"52",5,"22950.22",5
"14063",438,1,"9",5,"22710.20",5
"12540",19,4,"33",5,"22254.49",5
"15159",1,5,"34",5,"22116.73",5
"13340",45,4,"12",5,"22100.56",5
"14051",0,5,"37",5,"21770.98",5
"16839",8,5,"44",5,"21758.25",5
"12753",22,4,"6",4,"21429.39",5
"15615",10,5,"47",5,"21373.97",5
"13319",5,5,"58",5,"21323.22",5
"14866",10,5,"19",5,"20746.54",5
"14667",10,5,"54",5,"20395.34",5
"15251",9,5,"21",5,"20324.54",5
"12477",22,4,"9",5,"20276.37",5
"17706",4,5,"31",5,"20272.15",5
"17243",1,5,"69",5,"20203.58",5
"18008",70,3,"23",5,"19759.08",5
"17340",29,4,"18",5,"19617.95",5
"16843",42,4,"35",5,"19571.43",5
"17139",15,5,"25",5,"19566.76",5
"14194",4,5,"36",5,"18670.59",5
"12357",33,4,"3",3,"18287.66",5
"13113",0,5,"37",5,"18230.07",5
"12557",16,5,"8",4,"18096.14",5
"16746",4,5,"42",5,"18046.75",5
"17581",0,5,"43",5,"17951.17",5
"12901",8,5,"28",5,"17654.54",5
"17377",23,4,"78",5,"17644.27",5
"14952",59,3,"32",5,"17629.35",5
"16652",58,3,"16",5,"17550.39",5
"15189",1,5,"46",5,"17524.38",5
"18172",14,5,"52",5,"17467.24",5
"16019",46,4,"27",5,"17329.16",5
"17416",29,4,"22",5,"17298.45",5
"15078",7,5,"53",5,"17286.73",5
"15523",84,3,"16",5,"17259.19",5
"13027",113,3,"19",5,"17239.20",5
"14277",15,5,"9",5,"17197.61",5
"15808",306,2,"21",5,"17180.25",5
"15125",25,4,"24",5,"17024.87",5
"12647",22,4,"36",5,"16955.55",5
"16656",22,4,"30",5,"16833.17",5
"12433",0,5,"10",5,"16794.14",5
"17735",2,5,"26",5,"16790.33",5
"12454",56,4,"5",4,"16679.78",5
"16553",163,3,"33",5,"16584.01",5
"13564",144,3,"37",5,"16498.97",5
"15358",4,5,"42",5,"16425.86",5
"14961",10,5,"22",5,"16410.15",5
"13225",3,5,"16",5,"16260.07",5
"16180",100,3,"13",5,"16249.87",5
"12472",32,4,"19",5,"16249.29",5
"12980",157,3,"21",5,"16245.78",5
"17107",33,4,"10",5,"16052.72",5
"15044",19,4,"35",5,"16024.15",5
"13199",3,5,"67",5,"15964.21",5
"17716",22,4,"24",5,"15956.97",5
"12971",3,5,"116",5,"15704.60",5
"16191",2,5,"24",5,"15677.82",5
"12949",30,4,"22",5,"15526.70",5
"14769",2,5,"17",5,"15514.11",5
"14849",21,4,"43",5,"15407.61",5
"15768",115,3,"34",5,"15308.89",5
"18087",98,3,"17",5,"14761.52",5
"18092",2,5,"18",5,"14693.72",5
"16126",29,4,"15",5,"14644.60",5
"17133",15,5,"12",5,"14622.33",5
"16873",4,5,"12",5,"14617.39",5
"14543",28,4,"39",5,"14587.87",5
"17448",497,1,"46",5,"14523.67",5
"15482",15,5,"19",5,"14417.36",5
"14733",16,5,"15",5,"14335.15",5
"13488",17,5,"23",5,"14205.96",5
"15601",11,5,"30",5,"14191.74",5
"16713",18,5,"32",5,"14115.56",5
"12714",9,5,"12",5,"14093.71",5
"12476",15,5,"23",5,"14083.91",5
"14299",8,5,"27",5,"14070.25",5
"13178",26,4,"21",5,"14059.19",5
"18223",4,5,"26",5,"14000.85",5
"12435",79,3,"6",4,"13925.93",5
"15760",630,1,"2",3,"13916.34",5
"17589",60,3,"18",5,"13837.94",5
"15005",15,5,"56",5,"13754.58",5
"15382",14,5,"12",5,"13733.55",5
"15093",18,5,"23",5,"13702.38",5
"12583",2,5,"27",5,"13591.58",5
"12989",3,5,"33",5,"13551.75",5
"15291",25,4,"40",5,"13517.76",5
"13629",23,4,"19",5,"13370.86",5
"13097",32,4,"28",5,"13324.10",5
"16558",0,5,"38",5,"13304.11",5
"16923",12,5,"32",5,"13157.13",5
"13090",8,5,"24",5,"13091.74",5
"15738",18,5,"41",5,"13043.32",5
"14049",16,5,"13",5,"13023.40",5
"18225",3,5,"26",5,"13014.80",5
"15502",15,5,"14",5,"13003.87",5
"14110",3,5,"33",5,"12987.95",5
"13969",7,5,"35",5,"12973.46",5
"13668",2,5,"35",5,"12948.48",5
"13316",37,4,"10",5,"12940.82",5
"13952",217,2,"14",5,"12823.52",5
"13468",1,5,"72",5,"12793.28",5
"16549",10,5,"34",5,"12781.80",5
"12437",1,5,"39",5,"12683.40",5
"12451",10,5,"8",5,"12669.88",5
"12536",43,4,"3",3,"12601.83",5
"16161",1,5,"43",5,"12580.06",5
"17017",2,5,"29",5,"12576.99",5
"14040",40,4,"35",5,"12523.81",5
"17858",5,5,"30",5,"12518.65",5
"14936",33,4,"12",5,"12410.81",5
"16000",2,5,"3",3,"12393.70",5
"12474",17,5,"31",5,"12372.75",5
"14735",3,5,"56",5,"12240.16",5
"12481",22,4,"15",5,"12185.51",5
"15144",8,5,"29",5,"12160.31",5
"15465",19,5,"32",5,"12100.40",5
"15194",3,5,"28",5,"12021.53",5
"13050",14,5,"35",5,"11986.52",5
"14415",1,5,"23",5,"11980.09",5
"17364",0,5,"28",5,"11972.92",5
"17044",25,4,"12",5,"11962.30",5
"13458",7,5,"16",5,"11959.27",5
"13854",8,5,"39",5,"11944.56",5
"16258",45,4,"15",5,"11942.52",5
"16814",14,5,"36",5,"11924.85",5
"16523",1,5,"28",5,"11916.33",5
"17338",17,5,"17",5,"11889.33",5
"13687",438,1,"1",2,"11880.84",5
"14505",17,5,"19",5,"11879.08",5
